Id,highlighted,text,ru_trans,tags,prefix,suffix,position_start,position_end,start_container,end_container,chapter,ch_num,lang,overlap,img_src,alt_text_eng
0y-hfPNbEe2YOru6zcjrFQ,11,"Despite its many oddities, *Between Dog and Wolf* features a strict, formal structure: eight prose chapters from the perspective of the itinerant grinder Ilya Zynzyrella; five prose chapters that concern the life and thoughts of the dog-keeper Yakov Palamakhterov; four chapters consisting of 36 poems written by Yakov; and a final chapter made up of a single, separate poem, again authored by Yakov. As Alexander Boguslawski writes, the chapters follow this pattern: ABCABACABACABACBAC (""How Sokolov's"" 205). Sergei Orobii suggests that ""in the novel *Between Dog and Wolf*, the principle that will become the cornerstone for determining the root affiliation of Sokolov's texts of the 2000s is mastered: prose is replaced with ease by poetry, or even merges with it. Such a narrative maneuver, of course, originates not in the plot, but in the field of language: considering that the Russian literary language has 'worn out' from constant use and has lost all expressiveness, the writer tries to get away from the usual linguistic norms and constructs a unique style, which becomes the driving force of the narrative. Here, the boundaries between replicas, between direct and indirect speech, between chatter and quotation are fundamentally blurred"" (299).",,['structure'],"     
      

      
        
  ",". Опять записки
  
  Записка XIX",618,620,/div[1]/main[1]/article[1]/h1[1],/div[1]/main[1]/article[1]/h1[1],11. Опять записки,11,ru,none,[],[]
GjYkovTDEe2Xud-SwHJ1uw,12,"Despite its many oddities, *Between Dog and Wolf* features a strict, formal structure: eight prose chapters from the perspective of the itinerant grinder Ilya Zynzyrella; five prose chapters that concern the life and thoughts of the dog-keeper Yakov Palamakhterov; four chapters consisting of 36 poems written by Yakov; and a final chapter made up of a single, separate poem, again authored by Yakov. As Alexander Boguslawski writes, the chapters follow this pattern: ABCABACABACABACBAC (""How Sokolov's"" 205). Elena Kravchenko argues that, in opposition to the visual leanings of the chapters associated with Yakov, Ilya's chapters ""may become less impenetrable if received aurally, which will make its language play come 'alive'. […] The unmistakable focus in Il'ia's skaz on oral culture — through numerous allusions to fairy tales and epics — and language, especially its aural qualities illuminated through paronomasia, is juxtaposed with the literariness and visuality of the prose and verse fragments"" (*The Prose* 80).",,['structure'],"     
      

      
        
  ",". Заитильщина
  
  Содвинулись в",618,620,/div[1]/main[1]/article[1]/h1[1],/div[1]/main[1]/article[1]/h1[1],12. Заитильщина,12,ru,none,[],[]
VzmSKPcZEe2wCA-sc9KCHg,13,"Despite its many oddities, *Between Dog and Wolf* features a strict, formal structure: eight prose chapters from the perspective of the itinerant grinder Ilya Zynzyrella; five prose chapters that concern the life and thoughts of the dog-keeper Yakov Palamakhterov; four chapters consisting of 36 poems written by Yakov; and a final chapter made up of a single, separate poem, again authored by Yakov. As Alexander Boguslawski writes, the chapters follow this pattern: ABCABACABACABACBAC (""How Sokolov's"" 205).",,['structure'],"     
      

      
        
  ",". Картинки с выставки
  
  Измор",618,620,/div[1]/main[1]/article[1]/h1[1],/div[1]/main[1]/article[1]/h1[1],13. Картинки с выставки,13,ru,none,[],[]
8dqphP5TEe2TFYcfqU3UtA,14,"Despite its many oddities, *Between Dog and Wolf* features a strict, formal structure: eight prose chapters from the perspective of the itinerant grinder Ilya Zynzyrella; five prose chapters that concern the life and thoughts of the dog-keeper Yakov Palamakhterov; four chapters consisting of 36 poems written by Yakov; and a final chapter made up of a single, separate poem, again authored by Yakov. As Alexander Boguslawski writes, the chapters follow this pattern: ABCABACABACABACBAC (""How Sokolov's"" 205). Elena Kravchenko argues that, in opposition to the visual leanings of the chapters associated with Yakov, Ilya's chapters ""may become less impenetrable if received aurally, which will make its language play come 'alive'. […] The unmistakable focus in Il'ia's *skaz* on oral culture — through numerous allusions to fairy tales and epics — and language, especially its aural qualities illuminated through paronomasia, is juxtaposed with the literariness and visuality of the prose and verse fragments"" (*The Prose* 80).",,['structure'],"     
      

      
        
  ",". От Ильи Петрикеича
  
  Клеши,",618,620,/div[1]/main[1]/article[1]/h1[1],/div[1]/main[1]/article[1]/h1[1],14. От Ильи Петрикеича,14,ru,none,[],[]
rgalqgE3Ee6r0VMIAhoU2A,15,"Despite its many oddities, *Between Dog and Wolf* features a strict, formal structure: eight prose chapters from the perspective of the itinerant grinder Ilya Zynzyrella; five prose chapters that concern the life and thoughts of the dog-keeper Yakov Palamakhterov; four chapters consisting of 36 poems written by Yakov; and a final chapter made up of a single, separate poem, again authored by Yakov. As Alexander Boguslawski writes, the chapters follow this pattern: ABCABACABACABACBAC (""How Sokolov's"" 205). Sergei Orobii suggests that ""in the novel *Between Dog and Wolf*, the principle that will become the cornerstone for determining the root affiliation of Sokolov's texts of the 2000s is mastered: prose is replaced with ease by poetry, or even merges with it. Such a narrative maneuver, of course, originates not in the plot, but in the field of language: considering that the Russian literary language has 'worn out' from constant use and has lost all expressiveness, the writer tries to get away from the usual linguistic norms and constructs a unique style, which becomes the driving force of the narrative. Here, the boundaries between replicas, between direct and indirect speech, between chatter and quotation are fundamentally blurred"" (299).",,['structure'],"     
      

      
        
  ",". Журнал запойного
  
  Записка ",618,620,/div[1]/main[1]/article[1]/h1[1],/div[1]/main[1]/article[1]/h1[1],15. Журнал запойного,15,ru,none,[],[]
quL7TgF4Ee6snO_8CJDAbQ,16,"Despite its many oddities, *Between Dog and Wolf* features a strict, formal structure: eight prose chapters from the perspective of the itinerant grinder Ilya Zynzyrella; five prose chapters that concern the life and thoughts of the dog-keeper Yakov Palamakhterov; four chapters consisting of 36 poems written by Yakov; and a final chapter made up of a single, separate poem, again authored by Yakov. As Alexander Boguslawski writes, the chapters follow this pattern: ABCABACABACABACBAC (""How Sokolov's"" 205).",,['structure'],"     
      

      
        
  ",". Ловчая повесть
  
  Так, пытая",618,620,/div[1]/main[1]/article[1]/h1[1],/div[1]/main[1]/article[1]/h1[1],16. Ловчая повесть,16,ru,none,[],[]
A5mlsgF-Ee6uizePi-qOXA,17,"Despite its many oddities, *Between Dog and Wolf* features a strict, formal structure: eight prose chapters from the perspective of the itinerant grinder Ilya Zynzyrella; five prose chapters that concern the life and thoughts of the dog-keeper Yakov Palamakhterov; four chapters consisting of 36 poems written by Yakov; and a final chapter made up of a single, separate poem, again authored by Yakov. As Alexander Boguslawski writes, the chapters follow this pattern: ABCABACABACABACBAC (""How Sokolov's"" 205).",,['structure'],"     
      

      
        
  ",". Последнее
  
  Гражданин Пожил",618,620,/div[1]/main[1]/article[1]/h1[1],/div[1]/main[1]/article[1]/h1[1],17. Последнее,17,ru,none,[],[]
ZmzSBgGBEe6qJAslj70i_Q,18,"Despite its many oddities, *Between Dog and Wolf* features a strict, formal structure: eight prose chapters from the perspective of the itinerant grinder Ilya Zynzyrella; five prose chapters that concern the life and thoughts of the dog-keeper Yakov Palamakhterov; four chapters consisting of 36 poems written by Yakov; and a final chapter made up of a single, separate poem, again authored by Yakov. As Alexander Boguslawski writes, the chapters follow this pattern: ABCABACABACABACBAC (""How Sokolov's"" 205). Sergei Orobii suggests that ""in the novel *Between Dog and Wolf*, the principle that will become the cornerstone for determining the root affiliation of Sokolov's texts of the 2000s is mastered: prose is replaced with ease by poetry, or even merges with it. Such a narrative maneuver, of course, originates not in the plot, but in the field of language: considering that the Russian literary language has 'worn out' from constant use and has lost all expressiveness, the writer tries to get away from the usual linguistic norms and constructs a unique style, which becomes the driving force of the narrative. Here, the boundaries between replicas, between direct and indirect speech, between chatter and quotation are fundamentally blurred"" (299).",,['structure'],"     
      

      
        
  ",". Записка, посланная отдельной б",618,620,/div[1]/main[1]/article[1]/h1[1],/div[1]/main[1]/article[1]/h1[1],"18. Записка, посланная отдельной бутылкой",18,ru,none,[],[]
qGaHvq4hEe24_OMbyfhouA,"05. Ловчая повесть, или картинки с выставки","The end of chapter 2 and chapter 5 were some of the earliest pieces of *Between Dog and Wolf* written. D. Barton Johnson reports: ""This initial focus on Iakov, rather than Illia, emerges from the fragment of *Mezhdu sobakoi i volkom* that Sokolov sent to Carl Professor for the first number of Ardis' new serial miscellany *Glagol* (1977). [...] Much of this material, deleted in the final version, sets forth the book's central theme of indeterminacy much more explicitly than anything in the final variant. The *Glagol* excerpt was abstruse and Proffer's response was 'almost complete incomprehension' (letter to Sokolov of August 26, 1976). [...] In his reply of August 15, 1976, Sokolov suggested that Carl Proffer's doubts echoed his own. The material had been written under difficult psychological circumstances. He had wanted to parody various styles, but felt he had not succeeded. He now proposed that the fragment be published in *Glagol* but with the idea that it would remain suspended [...] The excerpt's opening and closing passages with their descriptions of Iakov and the excursus on his name/identity were deleted"" (""Background Notes"" 337–338).",,['explanatory'],"     
      

      
        
  ","
  
  Яков Ильич Паламахтеров (в",618,661,/div[1]/main[1]/article[1]/h1[1],/div[1]/main[1]/article[1]/h1[1]/hypothesis-highlight[1],"05. Ловчая повесть, или картинки с выставки",05,ru,partial,[],[]
spRP7Cq9Ee28wJs4atci3w,Записки,"A reference to Ivan Turgenev's 1852 cycle of short stories *Notes of a Hunter* (also translated as *A Sportman's Notebook*, *The Hunting Sketches*, and *Sketches from a Hunter's Album*). This work was acclaimed for its portrayal of peasant life. The ""Notes"" (Записки) trope is common in Russian literature: *Notes of a Rifle Hunter* (Aksakov), Notes of a Shallow Grass (Dryansky), ""Notes of a Madman"" (Gogol), *Notes from the Underground* (Dostoevsky), *Notes from a Dead House* (Dostoevsky), ""Notes of a Madman"" (Tolstoy), ""Notes of a Christian"" (Tolstoy), *Notes of a Doctor* (Veresaev), *Notes of a Young Doctor* (Bulgakov), *Notes of a Psychotic* (Ven. Erofeev), and *Notes of a Nonhunter* (Vantalov). Gerald Smith suggests that the Drunken Huntsman may also be a literary descendent of Alexander Pushkin's hero in *The Gypsies* (""The Verse"" 329).","Отсылка к написанному в 1852 году циклу рассказов Тургенева ""Записки охотника"". Произведение получило признание за отражение крестьянской жизни. Образ ""Записок"" нередко встречается в русской литературе: *Записки ружейного охотника* (Аксаков), ""Записки мелкотравчатого"" (Дриянский), ""Записки сумасшедшего"" (Гоголь), *Записки из подполья* (Достоевский), *Записки из Мертвого дома* (Достоевский), ""Записки сумасшедшего"" (Толстой), ""Записки христианина"" (Толстой), *Записки врача* (Вересаев), *Записки юного врача* (Булгаков), *Записки психопата* (Вен. Ерофеев), *Записки неохотника* (Ванталов). Дж. Смит предполагает, что Запойный охотник может быть литературным потомком пушкинского героя из поэмы ""Цыгане"" (CASS 1987, Smith, ""The Verse"", 329).",['intertextuality']," 
      

      
        
  07. "," охотника
  
  Записка X

По пор",622,629,/div[1]/main[1]/article[1]/h1[1],/div[1]/main[1]/article[1]/h1[1],07. Записки охотника,07,ru,none,[],[]
aMO2yMojEeyvMU8wyY3V6A,Discords,"Disagreement or disharmony between people, things, or music. In his chapters, Ilya tells the story of his troubles with the hunters. More generally, this translation of the original title (Zaitil'shchina, The Epic Tale Beyond the Itil') might also refer to the confluence and disharmony between the various narrative voices in the novel: Ilya's letter, the chapters concerning Yakov's life and thoughts, and Yakov's poetry. ",,['language']," 
      

      
        
  01. "," Beyond the Itil
  
  The moonth",622,630,/div[1]/main[1]/article[1]/h1[1]/hypothesis-highlight[1],/div[1]/main[1]/article[1]/h1[1]/hypothesis-highlight[1],01. DISCORDS BEYOND THE ITIL,01,en,full,[],[]
giUgKmXXEe2k85-1npmSPA,Дзынзырэлы,"Another variation on Ilya's unusual last name, which is printed in more than ten different versions in the book. It carries allusions to Cinderella (see L. Toker's essay, ""Gamesman's Sketches (Found in a Bottle),"" CASS 21.3-4: 356). Since the beginning portion of the chapter is told by Orina, this could also be a plural form of Ilya's last name: ""the Dzynzyrelas."" However, as Korovashko suggests, ""Ilya Petrikevich becomes a kind of Cinderella 'squared': if the latter lost only his shoe, he lost both his leg and the crutches that compensate for its absence"" (277).","Необычная фамилия Ильи встречается и в других графических-орфографических вариантов дальше в тексте. Намекается на сказку Золушки (по-английски Cinderella; cм. L. Toker, ""Gamesman's Sketches (Found in a Bottle),"" CASS 21.3-4: 356). Поскольку начало главы рассказывает Орина, это также может быть формой множественного числа фамилии Ильи: ""Дзынзырелы"". Однако, Коровашко замечает, что ""Илья Петрикеич становится как бы Золушкой «в квадрате»: если последняя потеряла всего лишь свой башмачок, то он утратил и ногу, и компенсирующие ее отсутствие костыли"" (277).","['character', 'intertextuality']"," 
      

      
        
  10. ","
  
  Мол, все время я в бараках",622,632,/div[1]/main[1]/article[1]/h1[1],/div[1]/main[1]/article[1]/h1[1],10. Дзынзырэлы,10,ru,none,[],[]
gjCZ0LBDEe2bc7Mq801gTg,Заитильщина,"The title of Ilya's chapters derives from the Tatar name of the Volga river (Itil'), and recalls the [Zadonshchina](http://www.drevne.ru/lib/zadon_s.htm), an epic literary text (dated late 14th century) about the Battle of Kulikovo of 1380 (its title derives from the river Don). As ""the Zadonshchina shows the humanity of the Tatar troops and expresses genuine sympathy for a grief the Russian and Tatar alike could understand” (Halperin, *The Golden Horde *109), the Zaitil'shchina describes the diverse human universe by the Volga (Zavol'zhe), or Wolf river (Zavol'che) as it is called by paronomastic association between the terms Volga and ""volk"" (wolf). Andrei Zorin describes the setting of the novel in these terms: ""in the second novel, the directly named Zaitil'shchina, or Zavolzh'e, serves only as a symbol for a lost corner of the earth. The specific topographical realities here are deliberately scarce, and the historical ones are so thoroughly mixed up that it is absolutely impossible to reconcile the events described with any particular part of our century. And this desire of the writer for the ultimate universalization of time and space in his novel finds its most vivid expression in the role played in his artistic world by the painting of Pieter Bruegel the Elder"" (""Nasylaiushchii veter"" 252); ""The theme of physical damage in the novel becomes another embodiment of the Zaitil'shchina, a land where nothing is being built, produced, and only occasionally repaired, and more often it decays, becomes unusable, breaks and steals"" (""Nasylaiushchii veter"" 253). Vadim Kreid, titling his article ""Zaitil'shchina,"" describes the ""bezvremen'e"" (the absence of time) as the ""неизлечимая болезнь Заитильского бытия"" (incurable illness of life in Zavol'zhe), while he also points out a specific ""agnosticism"" typical of this fictional world, based on ""carelessness, inevitability of desolation, and nothingness (non-existence) as redemption"" (беспечность, неизбежность опустошения и небытие как избавление) (216-217).",,"['setting', 'structure', 'symbol', 'intertextuality', 'location', 'Russia', 'NT']"," 
      

      
        
  01. ","
  
  Месяц ясен, за числами не ",622,633,/div[1]/main[1]/article[1]/h1[1],/div[1]/main[1]/article[1]/h1[1],01. ЗАИТИЛЫЦИНА,01,ru,none,[],[]
ppjQKtIxEe2DkmslOfQJjA,Заитильщина,"The title of Ilya's chapters derives from the Tatar name of the Volga river (Itil'), and recalls the Zadonshchina, an epic literary text (dated late 14th century) about the Battle of Kulikovo of 1380 (its title derives from the river Don). As ""the Zadonshchina shows the humanity of the Tatar troops and expresses genuine sympathy for a grief the Russian and Tatar alike could understand” (Halperin, *The Golden Horde *109), the Zaitil'shchina describes the diverse human universe by the Volga (Zavol'zhe), or Wolf river (Zavol'che) as it is called by paronomastic association between the terms Volga and ""volk"" (wolf). Andrei Zorin describes the setting of the novel in these terms: ""in the second novel, the directly named Zaitil'shchina, or Zavolzh'e, serves only as a symbol for a lost corner of the earth. The specific topographical realities here are deliberately scarce, and the historical ones are so thoroughly mixed up that it is absolutely impossible to reconcile the events described with any particular part of our century. And this desire of the writer for the ultimate universalization of time and space in his novel finds its most vivid expression in the role played in his artistic world by the painting of Pieter Bruegel the Elder"" (""Nasylaiushchii veter"" 252); ""The theme of physical damage in the novel becomes another embodiment of the Zaitil'shchina, a land where nothing is being built, produced, and only occasionally repaired, and more often it decays, becomes unusable, breaks and steals"" (""Nasylaiushchii veter"" 253). Vadim Kreid, titling his article ""Zaitil'shchina,"" describes the ""bezvremen'e"" (the absence of time) as the ""неизлечимая болезнь Заитильского бытия"" (incurable illness of life in Zavol'zhe), while he also points out a specific ""agnosticism"" typical of this fictional world, based on ""carelessness, inevitability of desolation, and nothingness (non-existence) as redemption"" (беспечность, неизбежность опустошения и небытие как избавление) (216-217).",,"['setting', 'structure', 'symbol', 'Russia', 'intertextuality', 'location', 'NT']"," 
      

      
        
  04. "," Дзындзырэлы
  
  Это Петр, грам",622,633,/div[1]/main[1]/article[1]/h1[1],/div[1]/main[1]/article[1]/h1[1],04. Заитильщина Дзындзырэлы,04,ru,none,[],[]
