Id,highlighted,text,tags,prefix,suffix,position_start,position_end,start_container,end_container,chapter
wuPbvPlCEey_DiPh0ugKsg,стала она белой бабочкой,"Another instance of humans transforming into animals. Ostanin also notes a connection to *A School for Fools*, namely the scene in which the hero visits his grandmother's grace: ""зимняя бабочка, сидевшая на ветке бузины, пугается и летит к соседней могиле; ангел лишь вздрагивает, но не улетает, он остается с бабушкой"" (Ostanin 29).",['self-reference'],"ы ее похороним в земле,
  Чтобы ","
  
    Через сто или тысячу лет",1289,1313,/div[1]/main[1]/article[1]/ul[1]/li[19],/div[1]/main[1]/article[1]/ul[1]/li[19],03. Записки запойного охотника
DGKk-PlDEey3qhOfpbeifw,астры,A genus of approximately 170 perennial flower species. Pictured here: ![](https://upload.wikimedia.org/wikipedia/commons/b/be/Aster-alpinus.JPG),['explanatory'],"бстоятельства прежние,
  Только "," цветут, а не мак,
  И стрекочет",1393,1398,/div[1]/main[1]/article[1]/ul[1]/li[22],/div[1]/main[1]/article[1]/ul[1]/li[22],03. Записки запойного охотника
NxnS3vlDEeyWvlcn3s7tjw,мак,A genus of approximately 90 species of flowers. Pictured here: ![](https://upload.wikimedia.org/wikipedia/commons/9/9b/N2_Mohn.jpg?uselang=ru),['explanatory'],"ие,
  Только астры цветут, а не ",",
  И стрекочет кузнечик небрежн",1412,1415,/div[1]/main[1]/article[1]/ul[1]/li[22],/div[1]/main[1]/article[1]/ul[1]/li[22],03. Записки запойного охотника
G8xcJP7XEeyTwnfI52ZR0Q,беремен,"здвиг значения, олицетворение","['symbol', 'poetic device']","ик небрежнее,
  
    И никем не "," гамак.
  
  Впечатление есть, ч",1469,1476,/div[1]/main[1]/article[1]/ul[1]/li[24]/p[1]/hypothesis-highlight[1],/div[1]/main[1]/article[1]/ul[1]/li[24]/p[1]/hypothesis-highlight[1],03. Записки запойного охотника
f3vqYvlDEeyC-O894VWHhA,мастью,Colloquial: color. Used at the end of the chapter in Note 9 (R173/E41).,"['style/register', 'intratextuality']"," что кустарники
  Козыряют всей "," червей,
  И кагор на дворе у бо",1538,1544,/div[1]/main[1]/article[1]/ul[1]/li[26],/div[1]/main[1]/article[1]/ul[1]/li[26],03. Записки запойного охотника
xOS3CvlDEeyomK-hL45qYw,кагор,A red dessert wine. Pictured here: ![](https://upload.wikimedia.org/wikipedia/commons/6/6f/%D0%9F%D1%80%D0%B0%D0%B7%D0%B4%D0%BD%D0%B8%D1%87%D0%BD%D1%8B%D0%B9_%D1%81%D1%82%D0%BE%D0%BB_%D0%BD%D0%B0_%D0%9F%D0%B0%D1%81%D1%85%D1%83_2014_%28%D0%A8%D0%B0%D1%88%D0%BB%D1%8B%D0%BA%2C_%D0%B4%D0%BE%D0%BC%D0%B0%D1%88%D0%BD%D1%8F%D1%8F_%D0%B2%D1%8B%D0%BF%D0%B5%D1%87%D0%BA%D0%B0%2C_%D0%BA%D0%B0%D0%B3%D0%BE%D1%80%29.JPG),['explanatory'],"озыряют всей мастью червей,
  И "," на дворе у бочарника
  Пьет ког",1557,1562,/div[1]/main[1]/article[1]/ul[1]/li[27],/div[1]/main[1]/article[1]/ul[1]/li[27],03. Записки запойного охотника
KOl87gbEEe2ktmv7xKr9bQ,бочарника,"Ukrainian: cooper. Another form, бондарь, appears in chapter 4 (R174/E44).","['intratextuality', 'foreign']","ью червей,
  И кагор на дворе у ","
  Пьет когорта младых кустарей.",1574,1583,/div[1]/main[1]/article[1]/ul[1]/li[27],/div[1]/main[1]/article[1]/ul[1]/li[27],03. Записки запойного охотника
7BMXMgD5Ee2Cv6dIpyDMBw,младых,"Архаизм (вместо ""молодых""). См. у Пушкина ""Когда твои младые лета...""","['language', 'archaism']","воре у бочарника
  Пьет когорта "," кустарей.


Записка II

Снаряже",1599,1605,/div[1]/main[1]/article[1]/ul[1]/li[28]/hypothesis-highlight[1],/div[1]/main[1]/article[1]/ul[1]/li[28]/hypothesis-highlight[1],03. Записки запойного охотника
-HyVuvlDEey__SdHborLVw,стезей,"Poetic/high style: path, way",['style/register'],"Вчера гулял в бору.
  Песок его ",",
  Его игла и лист,
  Включая с",1690,1696,/div[1]/main[1]/article[1]/ul[2]/li[3],/div[1]/main[1]/article[1]/ul[2]/li[3],03. Записки запойного охотника
OvSOyvlEEey1Gl81ekYi7A,стрелолист,A genus of perennial aquatic plants including the arrowhead and katniss. Pictured here: ![](https://upload.wikimedia.org/wikipedia/commons/4/4e/Illustration_Sagittaria_sagittifolia0.jpg),['explanatory'],"й,
  Его игла и лист,
  Включая ",", —
  Все сухо было. Я
  Бранил ",1727,1737,/div[1]/main[1]/article[1]/ul[2]/li[5],/div[1]/main[1]/article[1]/ul[2]/li[5],03. Записки запойного охотника
XWN27PlEEey4NIOvXDvUxQ,мокроступы,(galoshes),[],"о. Я
  Бранил себя за то,
  Что "," я
  Обул бездумно и
  
    Напя",1787,1797,/div[1]/main[1]/article[1]/ul[2]/li[8],/div[1]/main[1]/article[1]/ul[2]/li[8],03. Записки запойного охотника
emFeDPljEeyo1NPzBy3kBA,епанчу,"A long, sleeve coat with a hood",['explanatory']," Обул бездумно и
  
    Напялил ",".
  
  Я ныне, прозорлив,
  Сбир",1833,1839,/div[1]/main[1]/article[1]/ul[2]/li[10]/p[1],/div[1]/main[1]/article[1]/ul[2]/li[10]/p[1],03. Записки запойного охотника
kCvaCvvPEeyGv9dPAiqAiw,Сбираясь,Dated: to get ready to (собираться),['register/style'],"анчу.
  
  Я ныне, прозорлив,
  "," по делам,
  Отставку дал и бота",1867,1875,/div[1]/main[1]/article[1]/ul[2]/li[12],/div[1]/main[1]/article[1]/ul[2]/li[12],03. Записки запойного охотника
3xctpPvPEeyLy0O4XqSCzQ,крылатке,Mentioned in chapter 2 (R159/E17),['intratextuality'],"елам,
  Отставку дал и ботам, и ",".
  Дождем грибным в пути застиг",1912,1920,/div[1]/main[1]/article[1]/ul[2]/li[13],/div[1]/main[1]/article[1]/ul[2]/li[13],03. Записки запойного охотника
BABEovvQEey0EMOdBdcwXQ,Дождем грибным,Light rain during sunshine. A continuation of the mushroom motif from Note 1.,"['explanatory', 'intratextuality', 'phraseologism']","авку дал и ботам, и крылатке.
  "," в пути застигнут был —
  Бежал ",1924,1938,/div[1]/main[1]/article[1]/ul[2]/li[14],/div[1]/main[1]/article[1]/ul[2]/li[14],03. Записки запойного охотника
VNJaWvvQEeyJNDcYvVUJmw,Бобылка,"Dialectical: poor, landless, homeless peasant",['register/style']," Придя домой, дрожал весь.
  
  "," укоряла: поделом,
  Предупрежда",2020,2027,/div[1]/main[1]/article[1]/ul[2]/li[17],/div[1]/main[1]/article[1]/ul[2]/li[17],03. Записки запойного охотника
ZSVVTPvQEeyJNcNKNTJVVg,поделом,Colloquial: serves you right,['register/style'],"жал весь.
  
  Бобылка укоряла: ",",
  Предупреждала — ноги тянет, ",2037,2044,/div[1]/main[1]/article[1]/ul[2]/li[17],/div[1]/main[1]/article[1]/ul[2]/li[17],03. Записки запойного охотника
tf_9_vvWEey3olcU6YERAA,Послушался собачьего хвоста,"According to Sokolov, a Siberian idiom meaning to act stupidly rather than follow wise advice. Apparently, ""tail"" is a euphemism (Sokolov, ""Bol'shoe pis'mo 126).","['explanatory', 'phraseologism']","упреждала — ноги тянет, ты же
  "," —
  Салоп отверг и чеботы отрин",2084,2111,/div[1]/main[1]/article[1]/ul[2]/li[19],/div[1]/main[1]/article[1]/ul[2]/li[19],03. Записки запойного охотника
FkRgwPvWEeyk-EeqwHuxZg,Салоп,A woman's cape. Pictured here: ![](https://upload.wikimedia.org/wikipedia/commons/4/49/%D0%A1%D0%B0%D0%BB%D0%BE%D0%BF.jpg),['explanatory'],"Послушался собачьего хвоста —
  "," отверг и чеботы отринул.
  
   ",2116,2121,/div[1]/main[1]/article[1]/ul[2]/li[20],/div[1]/main[1]/article[1]/ul[2]/li[20],03. Записки запойного охотника
298MRvvQEey9pyNsbv2uHQ,чеботы,"A shoe with a slight heel, boot, and curved toe. Ilya mentions that he once wanted to modify one (R151/E5).","['intratextuality', 'explanatory']","чьего хвоста —
  Салоп отверг и "," отринул.
  
    О неслух, говор",2131,2137,/div[1]/main[1]/article[1]/ul[2]/li[20],/div[1]/main[1]/article[1]/ul[2]/li[20],03. Записки запойного охотника
GRr4LPvREey1FpOUWK4ASw,неслух,"Colloquial: obstinate child, disobedient person",['register/style'],"верг и чеботы отринул.
  
    О ",", говорила мне она, о дерзкий.
 ",2156,2162,/div[1]/main[1]/article[1]/ul[2]/li[21]/p[1],/div[1]/main[1]/article[1]/ul[2]/li[21]/p[1],03. Записки запойного охотника
aZoEUPvREeyCZkdFYxRPRw,картонных гильз,"The case of a bullet cartridge, which holds the gunpowder and other essential elements for firing. Pictured here: ![](https://upload.wikimedia.org/wikipedia/commons/7/73/12%2C7_ShVAK_brass.jpg)",['explanatory']," слов
  Открой и из него
  Бери ",",
  Ты капсюлей бери,
  Придуман",2326,2341,/div[1]/main[1]/article[1]/ul[2]/li[28],/div[1]/main[1]/article[1]/ul[2]/li[28],03. Записки запойного охотника
urcruvvREeytUjuNztIYAg,капсюлей,Percussion caps (or primers). Pictured here: ![](https://upload.wikimedia.org/wikipedia/commons/0/03/Pistol_and_shotgun_primers.jpg),['explanatory'],"го
  Бери картонных гильз,
  Ты "," бери,
  Придуманных покойником ",2348,2356,/div[1]/main[1]/article[1]/ul[2]/li[29],/div[1]/main[1]/article[1]/ul[2]/li[29],03. Записки запойного охотника
UtcK9P-dEeyjYbvmSOkvdQ,Жевело,фр. Gevelot,['foreign']," бери,
  Придуманных покойником ",",
  И в донца этих гильз
  Жевел",2388,2394,/div[1]/main[1]/article[1]/ul[2]/li[30],/div[1]/main[1]/article[1]/ul[2]/li[30],03. Записки запойного охотника
ZTEycPvSEey0fpPU8LPE5A,За дело,"Expression: to work, let's get down to it","['register/style', 'phraseologism']","иви
  И пороху напороши.
  
    ","!
  
  Из войлочного резаных меш",2465,2472,/div[1]/main[1]/article[1]/ul[2]/li[34]/p[1],/div[1]/main[1]/article[1]/ul[2]/li[34]/p[1],03. Записки запойного охотника
2s0XYPvSEey1GvtWLt2rEg,Сэр Френч,"John Denton Pinkstone French (1852–1925) was a British Army officer famed for his service in the Second Boer War, in particular the Battles of Elandslaagte Klip Drift. Pictured here: ![](https://upload.wikimedia.org/wikipedia/commons/d/d3/Field_Marshal_Sir_John_French_2.jpg)","['explanatory', 'foreign']","е это опять заткни пыжами.
  
  "," сидит на стуле безголов.
  Фель",2612,2621,/div[1]/main[1]/article[1]/ul[2]/li[39],/div[1]/main[1]/article[1]/ul[2]/li[39],03. Записки запойного охотника
XNfA6vvWEey4NA8MOO3dTw,Френч,A military jacket used by the Russian and Soviet armies and named after John French. Pictured here: ![](https://upload.wikimedia.org/wikipedia/commons/0/08/Lenin%27s_frech_%281920s%2C_GIM%29_01_by_shakko.jpg),['explanatory'],"о опять заткни пыжами.
  
  Сэр "," сидит на стуле безголов.
  Фель",2616,2621,/div[1]/main[1]/article[1]/ul[2]/li[39]/hypothesis-highlight[1],/div[1]/main[1]/article[1]/ul[2]/li[39]/hypothesis-highlight[1],03. Записки запойного охотника
KsqLivvTEeyKC8t3Km5Rtw,Жомини,"Antoine-Henri Jomini (1779–1869), a Swiss military officer who served both the French and Russian armies. He is also well known for his influential *The Art of War* (1838). Pictured here: ![](https://upload.wikimedia.org/wikipedia/commons/c/cf/Jomini_Antoine-Henri.jpg)","['explanatory', 'foreign']","вядший.
  Но кто посмел, неужто ","
  
    Так шашкою махнул из-за ",2753,2759,/div[1]/main[1]/article[1]/ul[2]/li[42],/div[1]/main[1]/article[1]/ul[2]/li[42],03. Записки запойного охотника
jpB7wPvTEey1fLPBtAsqCA,шашкою,"Known as a Circassian or Cossack sabre, this single-edged sword resembles a cross between a curved and straight blade. Pictured here: ![](https://upload.wikimedia.org/wikipedia/commons/f/ff/%D0%A8%D0%B0%D1%88%D0%BA%D0%B0.jpg)",['explanatory'],"осмел, неужто Жомини
  
    Так "," махнул из-за Ла-Манша?
  
  Сэр",2771,2777,/div[1]/main[1]/article[1]/ul[2]/li[43]/p[1],/div[1]/main[1]/article[1]/ul[2]/li[43]/p[1],03. Записки запойного охотника
2oIP0PvTEey3mj8Xzpa5ZQ,Ла-Манша,"Aka English Channel. The name derived from the French ""la Manche"" that is, ""sleeve,"" due to its shape.","['explanatory', 'foreign']","
  
    Так шашкою махнул из-за ","?
  
  Сэр Френч на стуле медлен",2791,2799,/div[1]/main[1]/article[1]/ul[2]/li[43]/p[1],/div[1]/main[1]/article[1]/ul[2]/li[43]/p[1],03. Записки запойного охотника
esQ8Qv7XEeySgKdA5gIYtQ,медленно сидит,"семантический архаизм (Зубова 2000: 153, Zubova L., Sovremennaja russkaja poėzija v kontekste istorii jazyka, NLO, Moskva 2000)",['regyster/style'],"-Манша?
  
  Сэр Френч на стуле ",",
  А дроби номера — шестой да п",2825,2839,/div[1]/main[1]/article[1]/ul[2]/li[44]/hypothesis-highlight[1],/div[1]/main[1]/article[1]/ul[2]/li[44]/hypothesis-highlight[1],03. Записки запойного охотника
P5JZvABgEe2XNDPHizQ9dw,дедушкин табак,Дедушкин табак (grandfather's tobacco) is another name for the lycoperdon genus of mostly edible puffball mushrooms. The scientific name is derived The scientific name is derived from the Greek *lycos* meaning wolf and *perdon* meaning to fart. Read more [here](https://www.thetimes.co.uk/article/a-puff-of-wolf-flatulence-9mt7wmp3n). Pictured here: ![](https://upload.wikimedia.org/wikipedia/commons/3/35/Single_lycoperdon_perlatum.jpg). See Note 1 above (R164/E27).,['intratextuality'],"ва.
  
  И дымен порох мой, как ",",
  Зарницы старости чело мне из",2990,3004,/div[1]/main[1]/article[1]/ul[2]/li[48],/div[1]/main[1]/article[1]/ul[2]/li[48],03. Записки запойного охотника
TdBrhPvVEeyXBA_CASlOJA,Зарницы,Lightning flashes. Mentioned in chapter 2 in connection to other body parts (R160/Е20).,['intratextuality'],"орох мой, как дедушкин табак,
  "," старости чело мне изумили,
  И ",3008,3015,/div[1]/main[1]/article[1]/ul[2]/li[49]/hypothesis-highlight[1],/div[1]/main[1]/article[1]/ul[2]/li[49]/hypothesis-highlight[1],03. Записки запойного охотника
xiMJcPvVEeyecRc5L6lALw,киселю,"A berry fruit dish or drink (depending on how much thickening agent is added) popular in Northern, Central, and Eastern Europe. Pictured here: ![](https://upload.wikimedia.org/wikipedia/commons/c/c9/Red_Currant_Kissel.jpg)",['explanatory'],"то.
  
  Бобылка спит, наевшись ",".
  
    Пусть снится ей, что я ",3143,3149,/div[1]/main[1]/article[1]/ul[2]/li[52],/div[1]/main[1]/article[1]/ul[2]/li[52],03. Записки запойного охотника
tiycqvyQEeyLh-djQxxD1w,толком,"Colloquial: well, fully",['register/style'],"атейлив обед,
  Всё вы обсудите ","
  
    Вместе с собакой и волко",3339,3345,/div[1]/main[1]/article[1]/ul[3]/li[4],/div[1]/main[1]/article[1]/ul[3]/li[4],03. Записки запойного охотника
-oSYWPyQEeyD-Z_cgb8Z1Q,Удод,"The hoopoe appears several times throughout the novel, mostly in Yakov's poems (R167, 168, 169, 233, 236, 262, 280).",['intratextuality'],"да,
  Сидя себе на дубу,
  Дует "," во дуду
  И приговаривает:
  
 ",3438,3442,/div[1]/main[1]/article[1]/ul[3]/li[8],/div[1]/main[1]/article[1]/ul[3]/li[8],03. Записки запойного охотника
G6jDzvyREeyKOLcW0nngRg,дуду,"Colloquial: pipe, fife",['register/style'],"дя себе на дубу,
  Дует Удод во ","
  И приговаривает:
  
    Как х",3446,3450,/div[1]/main[1]/article[1]/ul[3]/li[8],/div[1]/main[1]/article[1]/ul[3]/li[8],03. Записки запойного охотника
NgnXkvyTEeyJQC_6xSYnwg,версты,An obsolete Russian unit of length equal to approximately .66 miles,['explanatory']," дрезина
  С тридцать четвертой ",",
  Дали донельзя пусты,
  И вых",3551,3557,/div[1]/main[1]/article[1]/ul[3]/li[12],/div[1]/main[1]/article[1]/ul[3]/li[12],03. Записки запойного охотника
QlPjCvyREeySgoPDmkIXpg,донельзя,"Colloquial: totally, utterly, completely",['register/style'],"идцать четвертой версты,
  Дали "," пусты,
  И выходной в магазине.",3566,3574,/div[1]/main[1]/article[1]/ul[3]/li[13],/div[1]/main[1]/article[1]/ul[3]/li[13],03. Записки запойного охотника
syv2BvyTEeyTHSNAgPuKkg,жбана,A jug. Pictured here: ![](https://upload.wikimedia.org/wikipedia/commons/8/81/Pegar.jpg),['explanatory']," дрезина.
  
  Капнула капля из ",",
  Занял сверчок свой шесток.
 ",3661,3666,/div[1]/main[1]/article[1]/ul[3]/li[16],/div[1]/main[1]/article[1]/ul[3]/li[16],03. Записки запойного охотника
7COiTPyTEeyZQZO5aY9wIw,"Занял сверчок свой шесток.
  ","A paraphrase of the expression ""всяк сверчок знай свой шесток,"" meaning, ""every person [cricket] should know their place [and not involve themselves in others' business].""",['explanatory'],"
  
  Капнула капля из жбана,
  ","Кто бы ответствовать мог,
  Позд",3670,3699,/div[1]/main[1]/article[1]/ul[3]/li[17],/div[1]/main[1]/article[1]/ul[3]/li[18],03. Записки запойного охотника
lh2bwPyREeyvHXPbrMgVKQ,Поздно теперь или рано,"Ambiguity of time, the time between dog and wolf",['time'],".
  Кто бы ответствовать мог,
  ",".
  
    Капнуло снова из жбана.",3727,3749,/div[1]/main[1]/article[1]/ul[3]/li[19],/div[1]/main[1]/article[1]/ul[3]/li[19],03. Записки запойного охотника
ti728PyTEeyJQ5fs1ovcmQ,жбана,A jug. Pictured here: ![](https://upload.wikimedia.org/wikipedia/commons/8/81/Pegar.jpg),['explanatory'],"и рано.
  
    Капнуло снова из ",".
  
  Все вы обсудите толком,
 ",3775,3780,/div[1]/main[1]/article[1]/ul[3]/li[20]/p[1],/div[1]/main[1]/article[1]/ul[3]/li[20]/p[1],03. Записки запойного охотника
pUVDHvyREey6XpOzUmLusg,толком,"Colloquial: well, fully",['register/style']," из жбана.
  
  Все вы обсудите ",",
  Было бы что обсуждать.
  Да ",3803,3809,/div[1]/main[1]/article[1]/ul[3]/li[21],/div[1]/main[1]/article[1]/ul[3]/li[21],03. Записки запойного охотника
urYyivyREey21Gd5Wbnc2Q,Точильщик,"That is, Ilya",['explanatory'],"бакой, за волком…


Записка IV

","

(Разговор с критиком)


  Не с",3942,3951,/div[1]/main[1]/article[1]/h3[4],/div[1]/main[1]/article[1]/h3[4],03. Записки запойного охотника
5lMzSPyREeyJOr_8tfrhPg,занедужишь,Low style: take ill,['register/style']," критиком)


  Не спи на земле, ",",
  Не станешь и ног волочить.
 ",3996,4006,/div[1]/main[1]/article[1]/ul[4]/li[1],/div[1]/main[1]/article[1]/ul[4]/li[1],03. Записки запойного охотника
BgNAUvySEeyKRPNdke9n5A,Не станешь и ног волочить,"Ilya has lost a leg in an accident and must, in this way, drag along his remaining limb.",['explanatory']," Не спи на земле, занедужишь,
  ",".
  Оставь, назоил мой досужий,
",4010,4035,/div[1]/main[1]/article[1]/ul[4]/li[2],/div[1]/main[1]/article[1]/ul[4]/li[2],03. Записки запойного охотника
d2c2yvyUEey3PnOJR7kgWw,назоил,"A combination of Назон (носатый, Овидий / big-nosed, Ovid) and Зоил (Zoilus, an extremely harsh critic). Zoilus, also known as Homeromastix, was a Greek critic and grammarian whose name eventually became a signifier for intense criticism.","['explanatory', 'intertextuality']","анешь и ног волочить.
  Оставь, "," мой досужий,
  Мне снится, что ",4047,4053,/div[1]/main[1]/article[1]/ul[4]/li[3],/div[1]/main[1]/article[1]/ul[4]/li[3],03. Записки запойного охотника
1tdsLv-gEeyUgLeFZgDwFQ,хорунжий,Military rank,['explanatory'],"ужий,
  Мне снится, что храбрый ","
  Холодное выдал оружье
  
    ",4093,4101,/div[1]/main[1]/article[1]/ul[4]/li[4],/div[1]/main[1]/article[1]/ul[4]/li[4],03. Записки запойного охотника
dm_jQvyVEey51ZsQKljCzQ,Люблю ли я эту погоду,"According to Boguslawski, a ""paraphrased quote from Vladimir Sokolov's untitled 1967 poem 'Na vlazhnye plank ogrady' (On the wet planks of the fence)"" (Boguslawski, ""Annotations"" 236). Read the poem (in Russian) [here](https://liricon.ru/na-vlazhnye-planki-ogrady.html).",['intertextuality']," 
    И надо его наточить.
  
  ",",
  Когда разгуляется вдруг
  И ",4159,4180,/div[1]/main[1]/article[1]/ul[4]/li[7],/div[1]/main[1]/article[1]/ul[4]/li[7],03. Записки запойного охотника
JutpGPyVEeyWJKt0WMB8yw,Когда разгуляется вдруг,"A reference to Boris Pasternak's 1956 poem and cycle ""When the Weather Clears..."" Read the poem and a translation [here](https://ruverses.com/boris-pasternak/when-the-weather-clears/3028/).",['intertextuality'],".
  
  Люблю ли я эту погоду,
  ","
  И ýзрят простые народы
  Явле",4184,4207,/div[1]/main[1]/article[1]/ul[4]/li[8],/div[1]/main[1]/article[1]/ul[4]/li[8],03. Записки запойного охотника
fta5jPySEeyJPa_72ywfTQ,разгуляется,Colloquial: (here) to clear up,['register/style']," Люблю ли я эту погоду,
  Когда "," вдруг
  И ýзрят простые народы
",4190,4201,/div[1]/main[1]/article[1]/ul[4]/li[8],/div[1]/main[1]/article[1]/ul[4]/li[8],03. Записки запойного охотника
mN_hlvySEeyOFi9tBShdqw,ýзрят,"Dated/poetic: to see, behold, gaze upon",['register/style'],",
  Когда разгуляется вдруг
  И "," простые народы
  Явленье — не с",4212,4217,/div[1]/main[1]/article[1]/ul[4]/li[9],/div[1]/main[1]/article[1]/ul[4]/li[9],03. Записки запойного охотника
ZM6LKPySEey3pgOWE2rnyw,Удода,"The hoopoe appears several times throughout the novel, mostly in Yakov's poems (R167, 168, 169, 233, 236, 262, 280).",['intratextuality'],"м: урода,
  А скажем корректно: ",",
  
    Кремневый крутящего кру",4285,4290,/div[1]/main[1]/article[1]/ul[4]/li[11],/div[1]/main[1]/article[1]/ul[4]/li[11],03. Записки запойного охотника
ydh58vySEey5zX9C405s1A,Еще бы,"Colloquial expression: to be sure, of course, you bet","['register/style', 'phraseologism']"," Кремневый крутящего круг?
  
  ",". Однако на что же
  Звучанье уд",4330,4336,/div[1]/main[1]/article[1]/ul[4]/li[13],/div[1]/main[1]/article[1]/ul[4]/li[13],03. Записки запойного охотника
bOMKoPySEey2aGs-SIGcKQ,удодовых,"The hoopoe appears several times throughout the novel, mostly in Yakov's poems (R167, 168, 169, 233, 236, 262, 280).",['intratextuality'],"бы. Однако на что же
  Звучанье "," дел
  В сей час препогожий похо",4366,4374,/div[1]/main[1]/article[1]/ul[4]/li[14],/div[1]/main[1]/article[1]/ul[4]/li[14],03. Записки запойного охотника
3gCEdPySEeyEAmeuqcItDA,сей,Archaism: this,"['register/style', 'archaism']"," же
  Звучанье удодовых дел
  В "," час препогожий похоже?
  Похоже",4383,4386,/div[1]/main[1]/article[1]/ul[4]/li[15],/div[1]/main[1]/article[1]/ul[4]/li[15],03. Записки запойного охотника
